scenario,seed,metric_group,metric,scale,proposed,simple,per_agent,proposed_minus_simple,proposed_minus_per_agent,interpretation_class
StateImport,20260832,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260833,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260834,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260835,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260836,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260837,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260838,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260839,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260840,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260841,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260842,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260843,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260844,Internal diagnostic,Continuity.Diagnostic.ReservationIDExactMismatchRate,paired_snapshots=60;internal_representation_only,0.0,0.0,0.0,0.0,0.0,Diagnostic only
StateImport,20260815,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.916666666667,0.083333333333,0.0,0.8333333333340001,0.916666666667,Diagnostic only
StateImport,20260816,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.916666666667,0.083333333333,0.0,0.8333333333340001,0.916666666667,Diagnostic only
StateImport,20260817,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.9,0.116666666667,0.0,0.783333333333,0.9,Diagnostic only
StateImport,20260818,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.933333333333,0.066666666667,0.0,0.8666666666659999,0.933333333333,Diagnostic only
